method,model_type,post_proc,n20_obj,n20_gap_pct,n20_time,n20_time_h,n50_obj,n50_gap_pct,n50_time,n50_time_h,n100_obj,n100_gap_pct,n100_time,n100_time_h
"HGS [21]",H,,6.130,,10.7h,10.700,10.366,,1.2d,28.800,15.563,,2.5d,60.000
"LKH-3 [20]",H,,6.135,0.08,17.9h,17.900,10.375,0.09,2.8d,67.200,15.647,0.54,5.7d,136.800
"NeuOpt-GIRE (D2A=1, T=1k)",L2S/RL,,6.132,0.03,4m,0.067,10.430,0.61,12m,0.200,15.865,1.94,28m,0.467
"NeuOpt-GIRE (D2A=1, T=5k)",L2S/RL,,6.130,0.00,20m,0.333,10.382,0.16,59m,0.983,15.698,0.87,2.3h,2.300
"NeuOpt-GIRE (D2A=1, T=10k)",L2S/RL,,6.130,0.00,41m,0.683,10.375,0.08,2h,2.000,15.656,0.60,4.6h,4.600
"NeuOpt-GIRE (D2A=5, T=6k)",L2S/RL,,6.130,0.00,2.1h,2.100,10.369,0.03,5.9h,5.900,15.610,0.30,13.8h,13.800
"NeuOpt-GIRE (D2A=5, T=20k)",L2S/RL,,6.130,0.00,6.8h,6.800,10.367,0.01,19.7h,19.700,15.586,0.15,1.9d,45.600
"NeuOpt-GIRE (D2A=5, T=40k)",L2S/RL,,6.130,0.00,13.7h,13.700,10.367,0.01,1.6d,38.400,15.579,0.10,3.8d,91.200
"Sym-NCO [13] (A=8, T=200)",L2C/RL,,,,,,,,,,15.702,0.89,7.2h,7.200
"POMO [4] (A=8, T=200)",L2C/RL,,6.136,0.09,11m,0.183,10.397,0.30,1.4h,1.400,15.672,0.70,7.2h,7.200
"POMO+EAS [5] (A=8, T=200)",L2C/RL,AS,6.132,0.04,38m,0.633,10.379,0.13,3.1h,3.100,15.610,0.30,16h,16.000
"POMO+EAS+SGBS [34] (short)",L2C/RL,AS+BS,,,,,,,,,15.587,0.15,1d,24.000
"POMO+EAS+SGBS [34] (long)",L2C/RL,AS+BS,,,,,,,,,15.579,0.10,4.1d,98.400
