rank,name,n,k_min,depot,customers,demand,capacity,route_size,initial_bks,initial_method,final_bks,final_team,improvement_pct
1,XL-n1048-k237,1047,237,E,R,SL,128,4.7,380211,AILS-II,380107,AILSII+,0.027
2,XL-n1094-k157,1093,157,C,C (6),U,7,7.8,112431,AILS-II,112431,,0.0
3,XL-n1141-k112,1140,112,R,RC (3),50--100,761,10.2,95727,AILS-II,95638,OptVerse-CityU,0.093
4,XL-n1188-k96,1187,96,R,RC (3),Q,782,12.4,104415,AILS-II,104402,OptVerse-CityU,0.012
5,XL-n1234-k55,1233,55,E,R,1--10,126,22.7,96647,AILS-II,96603,OptVerse-CityU,0.046
6,XL-n1281-k29,1280,29,C,C (5),1--100,2267,45.5,31101,FILO2,31083,Sub-Appro,0.058
7,XL-n1328-k19,1327,19,R,RC (3),5--10,542,72.6,38247,FILO,38201,AILS-HGS,0.12
8,XL-n1374-k278,1373,278,C,R,Q,248,4.9,233049,AILS-II,232940,AILS-HGS,0.047
9,XL-n1421-k232,1420,232,E,C (4),1--100,309,6.1,384826,AILS-II,384646,OptVerse-CityU,0.047
10,XL-n1468-k151,1467,151,E,R,50--100,726,9.7,250166,AILS-II,250028,OptVerse-CityU,0.055
11,XL-n1514-k106,1513,106,C,RC (4),5--10,107,14.2,92425,AILS-II,92398,TQrouting,0.029
12,XL-n1561-k75,1560,75,R,C (4),U,21,21.9,101549,AILS-II,101540,OptVerse-CityU,0.009
13,XL-n1608-k39,1607,39,C,RC (3),SL,337,42.1,48021,AILS-II,48009,Galileo,0.025
14,XL-n1654-k11,1653,11,E,R,1--10,845,155.4,36385,AILS-II,36370,TQrouting,0.041
15,XL-n1701-k562,1700,562,R,C (6),50--100,227,3.0,521136,AILS-II,520843,OptVerse-CityU,0.056
16,XL-n1748-k271,1747,271,R,C (3),Q,270,6.4,173896,AILS-II,173759,OptVerse-CityU,0.079
17,XL-n1794-k163,1793,163,C,R,U,11,11.2,141729,AILS-II,141724,OptVerse-CityU,0.004
