name,AILS-II_best,AILS-II_mean,FILO_best,FILO_mean,FILO2_best,FILO2_mean,KGLS-XXL_best,KGLS-XXL_mean,HGS-CVRP_best,HGS-CVRP_mean,SISRs_best,SISRs_mean,LKH-3_best,LKH-3_mean,OR-Tools_best,OR-Tools_mean
XL-n1048-k237,380211.0,380369.4,381718.0,382614.6,381304.0,382348.5,384530.0,385633.1,380991.0,381444.8,380675.0,381338.8,381021.0,381811.7,385826.0,387505.2
XL-n1094-k157,112431.0,112452.6,112437.0,112468.1,112432.0,112466.1,112616.0,112695.7,112462.0,112514.8,112492.0,112562.7,112815.0,112970.8,114525.0,114916.3
XL-n1141-k112,95727.0,95798.9,95764.0,95901.6,95767.0,95881.5,96343.0,96443.3,95863.0,96029.4,95810.0,96028.4,101676.0,102963.8,100163.0,100807.8
XL-n1188-k96,104415.0,104511.6,104556.0,104705.8,104563.0,104690.6,105089.0,105249.1,104640.0,104812.1,104574.0,104772.0,106168.0,106752.8,109745.0,110702.0
XL-n1234-k55,96647.0,96787.3,96715.0,96892.3,96766.0,96865.6,97316.0,97486.3,97077.0,97386.2,96785.0,96928.9,97868.0,98200.5,102270.0,103150.6
XL-n1281-k29,31105.0,31201.3,31107.0,31187.1,31101.0,31174.1,31236.0,31356.1,31170.0,31239.3,31235.0,31365.9,31567.0,31799.5,32901.0,33444.8
XL-n1328-k19,38248.0,38317.4,38247.0,38315.0,38248.0,38326.1,38472.0,38626.2,38261.0,38380.9,38394.0,38533.2,38765.0,39053.5,40847.0,41921.6
XL-n1374-k278,233049.0,233248.0,233572.0,233836.9,233394.0,233796.3,234293.0,234614.6,233643.0,233935.9,233396.0,233674.4,271327.0,280689.7,244408.0,246752.1
XL-n1421-k232,384826.0,384949.2,385757.0,386057.5,385793.0,385998.9,387321.0,387806.7,385944.0,386806.4,385059.0,385291.3,391667.0,393269.9,394394.0,395782.0
XL-n1468-k151,250166.0,250305.2,250487.0,250685.1,250428.0,250689.6,251526.0,251767.9,250979.0,251416.3,250490.0,250807.6,297764.0,307088.0,258121.0,259274.1
XL-n1514-k106,92425.0,92489.7,92472.0,92552.3,92465.0,92550.3,92929.0,93084.8,92605.0,92751.6,92542.0,92706.2,93486.0,93840.6,97748.0,98696.6
XL-n1561-k75,101549.0,101583.3,101567.0,101598.4,101567.0,101600.8,101728.0,101807.8,101654.0,101756.0,101634.0,101694.6,102056.0,102215.2,104477.0,104883.9
XL-n1608-k39,48021.0,48064.3,48048.0,48209.4,48055.0,48169.2,48160.0,48409.0,48022.0,48136.7,48183.0,48368.7,48573.0,48842.0,51093.0,52137.1
XL-n1654-k11,36385.0,36429.1,36405.0,36443.6,36403.0,36444.0,36598.0,36957.5,36499.0,36652.1,36521.0,36614.6,36615.0,36945.2,39736.0,40813.7
XL-n1701-k562,521136.0,521380.5,524642.0,525299.0,524731.0,525333.3,526455.0,527011.0,522603.0,523391.5,522024.0,522435.6,589386.0,602157.0,543924.0,546859.9
XL-n1748-k271,173896.0,174027.2,174423.0,174555.8,174368.0,174528.2,175208.0,175458.2,174534.0,174857.0,174212.0,174370.7,182414.0,184422.9,183850.0,186541.3
XL-n1794-k163,141729.0,141777.6,141743.0,141827.8,141750.0,141819.0,142050.0,142196.8,141862.0,141989.5,141890.0,142012.1,142630.0,142859.8,145676.0,146337.8
XL-n1841-k126,214038.0,214142.6,214424.0,214601.9,214257.0,214446.9,215079.0,215376.7,215004.0,215535.4,214283.0,214465.7,216095.0,216484.8,225801.0,228519.6
XL-n1888-k82,143623.0,143733.5,143769.0,143892.0,143704.0,143855.2,144447.0,144609.1,144738.0,145168.3,143855.0,144020.5,145617.0,146161.4,150047.0,150745.8
XL-n1934-k46,53013.0,53067.3,53019.0,53216.1,53025.0,53193.7,53202.0,53468.4,53078.0,53156.4,53175.0,53483.6,54272.0,54821.5,57082.0,58423.0
XL-n1981-k13,32580.0,32639.1,32602.0,32672.6,32617.0,32760.8,32695.0,32958.7,32665.0,32752.2,32757.0,32961.3,32753.0,32989.8,35019.0,36103.9
XL-n2028-k617,544403.0,544596.6,547124.0,547687.3,547181.0,547645.2,548387.0,548760.1,545456.0,545993.2,545103.0,545516.6,647655.0,666636.0,570295.0,572389.5
XL-n2074-k264,421627.0,421805.0,422175.0,422449.9,422214.0,422492.3,424917.0,425405.7,426672.0,427692.7,422267.0,422584.4,452516.0,458340.7,435546.0,439098.4
XL-n2121-k186,283211.0,283323.6,283383.0,283531.6,283333.0,283506.0,284793.0,285026.6,285705.0,286790.9,283429.0,283600.1,284991.0,285363.0,293138.0,295124.1
XL-n2168-k138,127298.0,127450.2,127500.0,127619.5,127458.0,127576.7,128271.0,128500.4,127930.0,128150.2,127710.0,127941.7,134831.0,137346.9,136817.0,140455.5
XL-n2214-k131,154676.0,154722.4,154696.0,154763.3,154693.0,154757.4,154978.0,155087.7,154910.0,155021.2,154841.0,154920.1,155496.0,155704.4,158831.0,159335.6
XL-n2261-k54,98907.0,98993.6,99021.0,99135.9,99004.0,99084.4,99430.0,99668.1,99837.0,100195.0,99170.0,99309.4,101293.0,101786.1,105404.0,106532.6
XL-n2307-k34,47958.0,48020.2,48046.0,48225.2,47984.0,48125.4,48206.0,48439.7,48006.0,48178.9,48233.0,48451.5,48901.0,49339.0,52879.0,54328.1
XL-n2354-k631,940825.0,940960.9,942980.0,943678.0,942723.0,943357.0,943727.0,944550.9,942928.0,944394.0,941310.0,941626.8,945446.0,946780.2,982412.0,986908.4
XL-n2401-k408,463473.0,463673.4,464251.0,464722.2,464045.0,464534.3,466903.0,467336.2,467162.0,468236.6,464495.0,464839.6,539326.0,558932.9,487321.0,503274.1
XL-n2447-k290,218706.0,218821.4,219407.0,219628.7,219199.0,219434.0,220242.0,220656.7,219759.0,220267.5,219188.0,219488.0,224099.0,225815.8,236532.0,240391.8
XL-n2494-k194,361205.0,361273.1,361664.0,362285.1,361670.0,362269.9,363648.0,363810.2,364118.0,364995.3,361527.0,361665.8,370229.0,373017.9,368638.0,370337.3
XL-n2541-k121,146390.0,146489.1,146435.0,146502.5,146422.0,146499.3,146891.0,147004.5,146898.0,147182.1,146601.0,146738.9,147836.0,148125.0,152472.0,153089.5
XL-n2587-k66,73451.0,73520.7,73473.0,73571.1,73394.0,73535.1,73732.0,73917.1,73695.0,73914.9,73629.0,73826.4,75387.0,75906.3,80721.0,82005.7
