idx,name,n,capacity,bks_cost,bks_routes,ref_ok
0,XL-n10001-k1570,10000,479.0,2333757.0,1572,1
1,XL-n1048-k237,1047,128.0,380211.0,239,1
2,XL-n1094-k157,1093,7.0,112431.0,157,1
3,XL-n1141-k112,1140,761.0,95727.0,113,1
4,XL-n1188-k96,1187,782.0,104415.0,96,1
5,XL-n1234-k55,1233,126.0,96647.0,55,1
6,XL-n1281-k29,1280,2267.0,31101.0,29,1
7,XL-n1328-k19,1327,542.0,38247.0,19,1
8,XL-n1374-k278,1373,248.0,233049.0,281,1
9,XL-n1421-k232,1420,309.0,384826.0,232,1
10,XL-n1468-k151,1467,726.0,250166.0,152,1
11,XL-n1514-k106,1513,107.0,92425.0,106,1
12,XL-n1561-k75,1560,21.0,101549.0,75,1
13,XL-n1608-k39,1607,337.0,48021.0,39,1
14,XL-n1654-k11,1653,845.0,36385.0,11,1
15,XL-n1701-k562,1700,227.0,521136.0,567,1
16,XL-n1748-k271,1747,270.0,173896.0,272,1
17,XL-n1794-k163,1793,11.0,141729.0,163,1
18,XL-n1841-k126,1840,186.0,214038.0,126,1
19,XL-n1888-k82,1887,173.0,143623.0,82,1
20,XL-n1934-k46,1933,2166.0,53013.0,46,1
21,XL-n1981-k13,1980,832.0,32580.0,13,1
22,XL-n2028-k617,2027,247.0,544403.0,621,1
23,XL-n2074-k264,2073,401.0,421627.0,265,1
24,XL-n2121-k186,2120,62.0,283211.0,186,1
25,XL-n2168-k138,2167,800.0,127298.0,139,1
26,XL-n2214-k131,2213,17.0,154676.0,131,1
27,XL-n2261-k54,2260,319.0,98907.0,54,1
28,XL-n2307-k34,2306,479.0,47958.0,34,1
29,XL-n2354-k631,2353,28.0,940825.0,631,1
30,XL-n2401-k408,2400,303.0,463473.0,409,1
31,XL-n2447-k290,2446,150.0,218706.0,292,1
32,XL-n2494-k194,2493,661.0,361205.0,194,1
33,XL-n2541-k121,2540,21.0,146390.0,121,1
34,XL-n2587-k66,2586,2986.0,73394.0,66,1
35,XL-n2634-k17,2633,898.0,31641.0,17,1
36,XL-n2681-k540,2680,251.0,798603.0,541,1
37,XL-n2727-k546,2726,5.0,431134.0,546,1
38,XL-n2774-k286,2773,731.0,407847.0,286,1
39,XL-n2821-k208,2820,179.0,216763.0,208,1
40,XL-n2867-k120,2866,180.0,165990.0,120,1
41,XL-n2914-k95,2913,1663.0,88990.0,95,1
42,XL-n2961-k55,2960,297.0,108084.0,55,1
43,XL-n3007-k658,3006,25.0,522319.0,658,1
44,XL-n3054-k461,3053,497.0,782739.0,462,1
45,XL-n3101-k311,3100,159.0,245937.0,312,1
46,XL-n3147-k232,3146,102.0,256626.0,232,1
47,XL-n3194-k161,3193,1012.0,148728.0,161,1
48,XL-n3241-k115,3240,1404.0,221370.0,115,1
49,XL-n3287-k30,3286,111.0,40229.0,30,1
50,XL-n3334-k934,3333,20.0,1452698.0,934,1
51,XL-n3408-k524,3407,353.0,678643.0,524,1
52,XL-n3484-k436,3483,8.0,703355.0,436,1
53,XL-n3561-k229,3560,779.0,209386.0,230,1
54,XL-n3640-k211,3639,130.0,189724.0,211,1
55,XL-n3721-k77,3720,371.0,162862.0,77,1
56,XL-n3804-k29,3803,10064.0,52885.0,29,1
57,XL-n3888-k1010,3887,128.0,1880368.0,1012,1
58,XL-n3975-k687,3974,32.0,525901.0,687,1
59,XL-n4063-k347,4062,598.0,548931.0,347,1
60,XL-n4153-k291,4152,726.0,356034.0,291,1
61,XL-n4245-k203,4244,21.0,229659.0,203,1
62,XL-n4340-k148,4339,2204.0,244226.0,149,1
63,XL-n4436-k48,4435,706.0,61477.0,48,1
