idx,name,n,capacity,bks_cost,bks_routes,ref_ok
0,XML100_1111_01,100,4.0,29888.0,25,1
1,XML100_1111_02,100,4.0,38374.0,25,1
2,XML100_1111_03,100,4.0,26322.0,25,1
3,XML100_1111_04,100,3.0,37554.0,34,1
4,XML100_1111_05,100,4.0,33149.0,25,1
5,XML100_1111_06,100,4.0,27039.0,25,1
6,XML100_1111_07,100,3.0,43143.0,34,1
7,XML100_1111_08,100,4.0,30140.0,25,1
8,XML100_1111_09,100,3.0,44883.0,34,1
9,XML100_1111_10,100,3.0,33868.0,34,1
10,XML100_1111_11,100,4.0,33202.0,25,1
11,XML100_1111_12,100,4.0,33059.0,25,1
12,XML100_1111_13,100,4.0,31387.0,25,1
13,XML100_1111_14,100,4.0,33469.0,25,1
14,XML100_1111_15,100,3.0,38924.0,34,1
15,XML100_1111_16,100,3.0,30145.0,34,1
16,XML100_1111_17,100,4.0,33605.0,25,1
17,XML100_1111_18,100,4.0,29087.0,25,1
18,XML100_1111_19,100,4.0,22719.0,25,1
19,XML100_1111_20,100,4.0,36098.0,25,1
20,XML100_1111_21,100,4.0,25052.0,25,1
21,XML100_1111_22,100,3.0,55795.0,34,1
22,XML100_1111_23,100,4.0,37197.0,25,1
23,XML100_1111_24,100,4.0,36733.0,25,1
24,XML100_1111_25,100,4.0,33710.0,25,1
25,XML100_1111_26,100,3.0,37730.0,34,1
26,XML100_1111_27,100,4.0,34996.0,25,1
27,XML100_1112_01,100,5.0,24781.0,20,1
28,XML100_1112_02,100,6.0,22916.0,17,1
29,XML100_1112_03,100,5.0,26980.0,20,1
30,XML100_1112_04,100,5.0,20461.0,20,1
31,XML100_1112_05,100,5.0,27833.0,20,1
32,XML100_1112_06,100,6.0,22830.0,17,1
33,XML100_1112_07,100,6.0,23362.0,17,1
34,XML100_1112_08,100,7.0,21549.0,15,1
35,XML100_1112_09,100,7.0,24512.0,15,1
36,XML100_1112_10,100,5.0,25194.0,20,1
37,XML100_1112_11,100,6.0,22629.0,17,1
38,XML100_1112_12,100,6.0,19645.0,17,1
39,XML100_1112_13,100,7.0,21710.0,15,1
40,XML100_1112_14,100,5.0,26274.0,20,1
41,XML100_1112_15,100,5.0,24272.0,20,1
42,XML100_1112_16,100,7.0,19017.0,15,1
43,XML100_1112_17,100,6.0,24215.0,17,1
44,XML100_1112_18,100,6.0,23599.0,17,1
45,XML100_1112_19,100,6.0,22294.0,17,1
46,XML100_1112_20,100,6.0,18654.0,17,1
47,XML100_1112_21,100,5.0,23786.0,20,1
48,XML100_1112_22,100,6.0,23315.0,17,1
49,XML100_1112_23,100,5.0,24503.0,20,1
50,XML100_1112_24,100,6.0,23904.0,17,1
51,XML100_1112_25,100,5.0,22054.0,20,1
52,XML100_1112_26,100,7.0,16307.0,15,1
53,XML100_1112_27,100,5.0,20487.0,20,1
54,XML100_1113_01,100,11.0,14740.0,10,1
55,XML100_1113_02,100,10.0,12795.0,10,1
56,XML100_1113_03,100,10.0,16763.0,10,1
57,XML100_1113_04,100,8.0,19276.0,13,1
58,XML100_1113_05,100,11.0,17473.0,10,1
59,XML100_1113_06,100,10.0,15063.0,10,1
60,XML100_1113_07,100,10.0,14550.0,10,1
61,XML100_1113_08,100,8.0,19200.0,13,1
62,XML100_1113_09,100,9.0,16643.0,12,1
