idx,name,n,capacity,bks_cost,bks_routes,ref_ok
0,X-n1001-k43,1000,131.0,72355.0,43,1
1,X-n101-k25,100,206.0,27591.0,26,1
2,X-n106-k14,105,600.0,26362.0,14,1
3,X-n110-k13,109,66.0,14971.0,13,1
4,X-n115-k10,114,169.0,12747.0,10,1
5,X-n120-k6,119,21.0,13332.0,6,1
6,X-n125-k30,124,188.0,55539.0,30,1
7,X-n129-k18,128,39.0,28940.0,18,1
8,X-n134-k13,133,643.0,10916.0,13,1
9,X-n139-k10,138,106.0,13590.0,10,1
10,X-n143-k7,142,1190.0,15700.0,7,1
11,X-n148-k46,147,18.0,43448.0,47,1
12,X-n153-k22,152,144.0,21220.0,23,1
13,X-n157-k13,156,12.0,16876.0,13,1
14,X-n162-k11,161,1174.0,14138.0,11,1
15,X-n167-k10,166,133.0,20557.0,10,1
16,X-n172-k51,171,161.0,45607.0,53,1
17,X-n176-k26,175,142.0,47812.0,26,1
18,X-n181-k23,180,8.0,25569.0,23,1
19,X-n186-k15,185,974.0,24145.0,15,1
20,X-n190-k8,189,138.0,16980.0,8,1
21,X-n195-k51,194,181.0,44225.0,53,1
22,X-n200-k36,199,402.0,58578.0,36,1
23,X-n204-k19,203,836.0,19565.0,19,1
24,X-n209-k16,208,101.0,30656.0,16,1
25,X-n214-k11,213,944.0,10856.0,11,1
26,X-n219-k73,218,3.0,117595.0,73,1
27,X-n223-k34,222,37.0,40437.0,34,1
28,X-n228-k23,227,154.0,25742.0,23,1
29,X-n233-k16,232,631.0,19230.0,17,1
30,X-n237-k14,236,18.0,27042.0,14,1
31,X-n242-k48,241,28.0,82751.0,48,1
32,X-n247-k50,246,134.0,37274.0,51,1
33,X-n251-k28,250,69.0,38684.0,28,1
34,X-n256-k16,255,1225.0,18839.0,16,1
35,X-n261-k13,260,1081.0,26558.0,13,1
36,X-n266-k58,265,35.0,75478.0,58,1
37,X-n270-k35,269,585.0,35291.0,36,1
38,X-n275-k28,274,10.0,21245.0,28,1
39,X-n280-k17,279,192.0,33503.0,17,1
40,X-n284-k15,283,109.0,20215.0,15,1
41,X-n289-k60,288,267.0,95151.0,61,1
42,X-n294-k50,293,285.0,47161.0,51,1
43,X-n298-k31,297,55.0,34231.0,31,1
44,X-n303-k21,302,794.0,21736.0,21,1
45,X-n308-k13,307,246.0,25859.0,13,1
46,X-n313-k71,312,248.0,94043.0,72,1
47,X-n317-k53,316,6.0,78355.0,53,1
48,X-n322-k28,321,868.0,29834.0,28,1
49,X-n327-k20,326,128.0,27532.0,20,1
50,X-n331-k15,330,23.0,31102.0,15,1
51,X-n336-k84,335,203.0,139111.0,86,1
52,X-n344-k43,343,61.0,42050.0,43,1
53,X-n351-k40,350,436.0,25896.0,40,1
54,X-n359-k29,358,68.0,51505.0,29,1
55,X-n367-k17,366,218.0,22814.0,17,1
56,X-n376-k94,375,4.0,147713.0,94,1
57,X-n384-k52,383,564.0,65928.0,53,1
58,X-n393-k38,392,78.0,38260.0,38,1
59,X-n401-k29,400,745.0,66154.0,29,1
60,X-n411-k19,410,216.0,19712.0,19,1
61,X-n420-k130,419,18.0,107798.0,130,1
62,X-n429-k61,428,536.0,65449.0,62,1
63,X-n439-k37,438,12.0,36391.0,37,1
64,X-n449-k29,448,777.0,55233.0,29,1
65,X-n459-k26,458,1106.0,24139.0,26,1
66,X-n469-k138,468,256.0,221824.0,139,1
67,X-n480-k70,479,52.0,89449.0,70,1
68,X-n491-k59,490,428.0,66483.0,59,1
69,X-n502-k39,501,13.0,69226.0,39,1
70,X-n513-k21,512,142.0,24201.0,21,1
71,X-n524-k153,523,125.0,154593.0,155,1
72,X-n536-k96,535,371.0,94846.0,96,1
73,X-n548-k50,547,11.0,86700.0,50,1
74,X-n561-k42,560,74.0,42717.0,42,1
75,X-n573-k30,572,210.0,50673.0,30,1
76,X-n586-k159,585,28.0,190316.0,159,1
77,X-n599-k92,598,487.0,108451.0,93,1
78,X-n613-k62,612,523.0,59535.0,62,1
79,X-n627-k43,626,110.0,62164.0,43,1
80,X-n641-k35,640,1381.0,63682.0,35,1
81,X-n655-k131,654,5.0,106780.0,131,1
82,X-n670-k130,669,129.0,146332.0,133,1
83,X-n685-k75,684,408.0,68205.0,75,1
84,X-n701-k44,700,87.0,81923.0,44,1
85,X-n716-k35,715,1007.0,43373.0,35,1
86,X-n733-k159,732,25.0,136187.0,160,1
87,X-n749-k98,748,396.0,77269.0,98,1
88,X-n766-k71,765,166.0,114417.0,71,1
89,X-n783-k48,782,832.0,72386.0,48,1
90,X-n801-k40,800,20.0,73305.0,40,1
91,X-n819-k171,818,358.0,158121.0,172,1
92,X-n837-k142,836,44.0,193737.0,142,1
93,X-n856-k95,855,9.0,88965.0,95,1
94,X-n876-k59,875,764.0,99299.0,59,1
95,X-n895-k37,894,1816.0,53860.0,38,1
96,X-n916-k207,915,33.0,329179.0,207,1
97,X-n936-k151,935,138.0,132715.0,157,1
98,X-n957-k87,956,11.0,85465.0,87,1
99,X-n979-k58,978,998.0,118976.0,58,1
